symbol,date,price_mult,source
NESCO,2017-09-15,0.2,heuristic
TATAELXSI,2017-09-18,0.5,yfinance
YESBANK,2017-09-21,0.2,yfinance
SUTLEJTEX,2017-09-26,0.1,heuristic
MOIL,2017-09-27,0.454545,yfinance
BHARATFORG,2017-09-28,0.5,yfinance
BHEL,2017-09-28,0.666667,yfinance
JAMNAAUTO,2017-10-05,0.2,heuristic
HERITGFOOD,2017-10-10,0.5,heuristic
POKARNA,2017-10-18,0.2,heuristic
IGL,2017-11-09,0.2,heuristic
BALKRISIND,2017-12-21,0.5,yfinance
CASTROLIND,2017-12-21,0.5,yfinance
M&M,2017-12-21,0.5,yfinance
VAKRANGEE,2017-12-21,0.5,yfinance
JINDWORLD,2017-12-26,0.5,heuristic
IOC,2018-03-15,0.5,yfinance
INDNIPPON,2018-03-21,0.5,heuristic
GAIL,2018-03-27,0.75,yfinance
OIL,2018-03-27,0.636364,yfinance
TCS,2018-05-31,0.5,yfinance
MCDOWELL-N,2018-06-15,0.2,heuristic
ESSELPACK,2018-06-20,0.5,heuristic
EMAMILTD,2018-06-21,0.5,heuristic
JUBLFOOD,2018-06-21,0.5,yfinance
HIKAL,2018-06-22,0.666667,yfinance
CONCOR,2018-06-26,0.5,yfinance
VISESHINFO,2018-06-26,0.5,heuristic
FILATEX,2018-06-27,0.2,heuristic
NIACL,2018-06-27,0.5,yfinance
VISESHINFO,2018-06-27,2.0,heuristic
JYOTHYLAB,2018-06-28,0.5,heuristic
VISESHINFO,2018-07-09,0.5,heuristic
VISESHINFO,2018-07-10,2.0,heuristic
MINDAIND,2018-07-11,0.333333,heuristic
GICRE,2018-07-12,0.5,yfinance
VISESHINFO,2018-07-17,0.5,heuristic
VISESHINFO,2018-07-18,2.0,heuristic
VISESHINFO,2018-07-19,0.5,heuristic
VISESHINFO,2018-07-20,2.0,heuristic
GALLISPAT,2018-08-07,0.1,heuristic
WHEELS,2018-08-08,0.5,heuristic
INFY,2018-09-04,0.5,yfinance
VISESHINFO,2018-09-04,0.5,heuristic
VISESHINFO,2018-09-05,2.0,heuristic
GLAXO,2018-09-11,0.5,yfinance
GODREJCP,2018-09-12,0.7,yfinance
VISESHINFO,2018-09-19,0.5,heuristic
