Date,nifty500,nifty50,nifty100,nifty_midcap
2023-05-10,15466.0498046875,18315.099609375,18170.849609375,32505.349609375
2023-05-11,15484.0498046875,18297.0,18174.25,32601.30078125
2023-05-12,15477.349609375,18314.80078125,18181.94921875,32468.44921875
2023-05-15,15549.7001953125,18398.849609375,18258.099609375,32709.400390625
2023-05-16,15492.400390625,18286.5,18162.25,32792.8515625
2023-05-17,15426.349609375,18181.75,18056.69921875,32762.75
2023-05-18,15361.599609375,18129.94921875,17985.75,32570.55078125
2023-05-19,15407.5498046875,18203.400390625,18060.349609375,32550.349609375
2023-05-22,15504.0,18314.400390625,18180.900390625,32756.400390625
2023-05-23,15544.75,18348.0,18219.80078125,32961.8984375
2023-05-24,15515.9501953125,18285.400390625,18170.0,33031.3515625
2023-05-25,15555.25,18321.150390625,18213.599609375,33157.1015625
2023-05-26,15696.75,18499.349609375,18393.05078125,33425.1015625
2023-05-29,15772.349609375,18598.650390625,18490.25,33551.0
2023-05-30,15799.4501953125,18633.849609375,18516.94921875,33635.30078125
2023-05-31,15766.400390625,18534.400390625,18438.30078125,33761.30078125
2023-06-01,15760.349609375,18487.75,18405.69921875,33812.3984375
2023-06-02,15811.2001953125,18534.099609375,18457.0,33966.80078125
2023-06-05,15859.5,18593.849609375,18513.849609375,34015.19921875
2023-06-06,15878.400390625,18599.0,18527.849609375,34035.8984375
2023-06-07,16006.7001953125,18726.400390625,18659.650390625,34390.1015625
2023-06-08,15921.0498046875,18634.55078125,18562.94921875,34200.3984375
2023-06-09,15877.400390625,18563.400390625,18502.099609375,34153.05078125
2023-06-12,15929.099609375,18601.5,18545.80078125,34342.30078125
2023-06-13,16048.2001953125,18716.150390625,18668.0,34761.0
2023-06-14,16084.0498046875,18755.900390625,18705.25,34833.30078125
2023-06-15,16058.25,18688.099609375,18653.599609375,34907.0
2023-06-16,16181.4501953125,18826.0,18798.55078125,35144.30078125
2023-06-19,16142.150390625,18755.44921875,18732.80078125,35158.05078125
2023-06-20,16199.9501953125,18816.69921875,18794.599609375,35329.19921875
2023-06-21,16240.9501953125,18856.849609375,18827.80078125,35614.3984375
2023-06-22,16140.7998046875,18771.25,18722.69921875,35235.25
2023-06-23,16011.7998046875,18665.5,18595.75,34799.8984375
2023-06-26,16066.150390625,18691.19921875,18632.75,35120.44921875
2023-06-27,16163.5,18817.400390625,18751.30078125,35296.94921875
2023-06-28,16277.2001953125,18972.099609375,18901.19921875,35520.94921875
2023-06-30,16430.0,19189.05078125,19099.55078125,35754.3515625
2023-07-03,16527.94921875,19322.55078125,19223.849609375,35843.5
2023-07-04,16556.05078125,19389.0,19270.55078125,35771.80078125
2023-07-05,16597.19921875,19398.5,19297.94921875,36024.6484375
2023-07-06,16695.05078125,19497.30078125,19397.099609375,36373.1015625
2023-07-07,16564.900390625,19331.80078125,19233.599609375,36076.80078125
2023-07-10,16553.75,19355.900390625,19239.80078125,35938.05078125
2023-07-11,16648.0,19439.400390625,19333.599609375,36252.8984375
2023-07-12,16641.05078125,19384.30078125,19293.69921875,36408.1484375
2023-07-13,16623.900390625,19413.75,19304.849609375,36114.3515625
2023-07-14,16765.44921875,19564.5,19454.0,36528.94921875
2023-07-17,16872.05078125,19711.44921875,19584.80078125,36641.25
2023-07-18,16872.0,19749.25,19605.849609375,36591.3984375
2023-07-19,16953.5,19833.150390625,19690.69921875,36839.0
2023-07-20,17042.55078125,19979.150390625,19811.900390625,36931.69921875
2023-07-21,16904.30078125,19745.0,19602.599609375,36799.5
2023-07-24,16865.150390625,19672.349609375,19540.44921875,36742.6015625
2023-07-25,16896.900390625,19680.599609375,19566.900390625,36887.6484375
2023-07-26,16975.0,19778.30078125,19662.0,37050.1015625
2023-07-27,16919.19921875,19659.900390625,19566.69921875,37151.6015625
2023-07-28,16948.349609375,19646.05078125,19580.650390625,37357.1484375
2023-07-31,17059.0,19753.80078125,19679.349609375,37721.3515625
2023-08-01,17051.150390625,19733.55078125,19659.849609375,37733.44921875
2023-08-02,16858.94921875,19526.55078125,19447.099609375,37232.69921875
2023-08-03,16772.30078125,19381.650390625,19310.900390625,37326.1484375
2023-08-04,16890.599609375,19517.0,19448.75,37630.6015625
2023-08-07,16956.349609375,19597.30078125,19521.849609375,37824.1484375
2023-08-08,16949.25,19570.849609375,19497.44921875,37912.5
2023-08-09,17003.849609375,19632.55078125,19554.75,38037.0
2023-08-10,16939.849609375,19543.099609375,19463.099609375,38007.6015625
2023-08-11,16860.150390625,19428.30078125,19359.0,37836.1484375
